股票代码,股票名称,最新价,总市值,每股收益,总资产,总负债,股东权益合计,净利润同比,营收同比率,总营收,总利润,净利润,净资产收益率-ROE,成交量-手,市盈率-动态,流动比率,速动比率
600872,中炬高新,38.68,308.1亿,0.220,73.02亿,21.24亿,51.79亿,-15.17,9.51,12.63亿,2.17亿,1.75亿,3.72,36.04万,44.02,2.357,1.494
002216,三全食品,15.93,140.1亿,0.200,58.29亿,26.25亿,32.04亿,-31.71,5.17,23.31亿,2.25亿,1.76亿,5.71,22.69万,19.91,1.488,1.047
000848,承德露露,10.07,108.4亿,0.200,29.48亿,6.27亿,23.21亿,16.14,14.55,9.72亿,2.82亿,2.12亿,9.46,48.93万,12.81,4.193,4.086
603697,有友食品,17.80,54.85亿,0.200,20.20亿,1.92亿,18.28亿,46.15,33.94,2.81亿,7055.33万,6006.10万,3.34,2.16万,22.83,9.923,8.161
603020,爱普股份,15.48,49.54亿,0.190,29.56亿,4.28亿,25.28亿,78.86,41.18,8.20亿,9777.75万,6071.23万,2.69,7.46万,20.40,5.684,4.257
300915,海融科技,54.73,49.26亿,0.182,14.61亿,1.22亿,13.39亿,323.75,43.91,1.57亿,1985.33万,1641.50万,1.24,1.05万,75.02,11.14,10.57
600073,上海梅林,7.56,70.89亿,0.180,154.46亿,83.10亿,71.36亿,17.15,4.22,67.60亿,3.31亿,1.73亿,3.99,6.14万,10.24,1.404,0.978
603866,桃李面包,28.01,266.7亿,0.171,58.65亿,8.67亿,49.98亿,-16.27,0.31,13.27亿,2.08亿,1.63亿,3.31,4.99万,36.11,2.803,2.636
300765,新诺威,12.85,70.16亿,0.154,30.58亿,2.88亿,27.70亿,14.75,0.43,3.57亿,1.01亿,8386.23万,3.08,3.46万,20.92,8.479,7.922
300829,金丹科技,59.21,107.0亿,0.154,17.76亿,4.12亿,13.63亿,-25.22,56.88,3.19亿,2828.93万,2790.66万,2.12,2.38万,95.82,1.790,1.255
605388,均瑶健康,17.87,76.84亿,0.150,22.04亿,2.08亿,19.96亿,22.29,31.12,2.54亿,8609.85万,6443.57万,3.28,4.13万,29.81,,
603755,日辰股份,50.86,50.15亿,0.150,7.12亿,8816.80万,6.24亿,-0.35,51.53,6964.62万,1738.05万,1469.00万,2.38,2469,85.36,11.36,10.77
300858,科拓生物,34.17,50.75亿,0.145,10.16亿,6141.27万,9.55亿,43.07,35.97,8071.66万,2583.52万,2155.83万,2.29,1.12万,58.86,14.22,13.23
605300,佳禾食品,24.12,96.48亿,0.141,18.37亿,3.74亿,14.62亿,44.05,81.77,5.89亿,7450.77万,5652.64万,3.94,4.18万,42.67,,
605016,百龙创园,27.45,34.81亿,0.138,8.43亿,1.35亿,7.09亿,17.61,43.32,1.34亿,2064.42万,1745.22万,2.49,2.93万,34.24,,
002695,煌上煌,14.20,72.82亿,0.131,28.10亿,5.02亿,23.09亿,3.09,12.12,6.06亿,8006.29万,6721.03万,2.74,4.55万,27.08,5.328,3.148
600419,天润乳业,11.90,31.96亿,0.120,25.80亿,8.20亿,17.60亿,69.40,33.19,4.63亿,3932.31万,3343.56万,2.11,3.24万,23.90,1.121,0.759
200019,深粮B,3.82,44.03亿,0.118,78.52亿,29.17亿,49.35亿,63.97,49.30,25.29亿,1.44亿,1.36亿,2.92,2142,6.84,2.469,0.500
000019,深粮控股,7.18,82.75亿,0.118,78.52亿,29.17亿,49.35亿,63.97,49.30,25.29亿,1.44亿,1.36亿,2.92,4.15万,15.20,2.469,0.500
