股票代码,股票名称,最新价,总市值,每股收益,总资产,总负债,股东权益合计,净利润同比,营收同比率,总营收,总利润,净利润,净资产收益率-ROE,成交量-手,市盈率-动态,流动比率,速动比率
000875,吉电股份,6.14,171.3亿,0.153,579.91亿,439.79亿,140.12亿,61.55,40.81,35.10亿,5.69亿,4.26亿,5.31,237.96万,10.06,0.642,0.634
002518,科士达,29.78,173.5亿,0.150,42.14亿,13.15亿,28.99亿,316.62,95.70,4.73亿,1.04亿,8578.02万,3.01,58.21万,50.55,2.495,2.088
002357,富临运业,5.15,16.14亿,0.146,26.41亿,12.64亿,13.77亿,51.53,36.41,1.65亿,5159.48万,4589.65万,3.37,2.62万,8.79,0.377,0.376
603859,能科股份,42.08,70.09亿,0.144,20.04亿,5.37亿,14.67亿,40.11,27.86,2.07亿,3262.21万,2401.90万,1.70,10.82万,72.95,2.401,2.123
300693,盛弘股份,41.18,84.53亿,0.143,12.37亿,4.52亿,7.85亿,100.22,65.62,1.81亿,3274.60万,2927.84万,3.81,60.22万,72.18,2.146,1.767
300644,南京聚隆,18.77,20.42亿,0.139,14.31亿,6.86亿,7.46亿,196.34,150.83,3.76亿,1634.63万,1508.60万,2.07,2.24万,33.84,1.583,1.065
300648,星云股份,60.02,88.70亿,0.138,16.49亿,6.46亿,10.03亿,-,64.91,1.21亿,1904.16万,1984.11万,2.32,25.42万,111.76,2.305,1.772
300623,捷捷微电,37.66,277.4亿,0.136,30.69亿,4.65亿,26.04亿,139.83,137.32,3.65亿,1.20亿,1.00亿,3.95,48.45万,69.14,4.247,3.805
300438,鹏辉能源,37.40,156.9亿,0.130,71.46亿,45.25亿,26.21亿,171.16,138.75,10.62亿,6460.12万,5472.71万,2.20,50.96万,71.68,1.287,0.977
300403,汉宇集团,6.58,39.68亿,0.127,22.36亿,6.57亿,15.80亿,151.98,50.73,2.79亿,8531.28万,7657.93万,4.96,11.32万,12.95,1.646,1.255
300582,英飞特,35.28,104.6亿,0.125,20.29亿,7.60亿,12.68亿,127.35,58.89,2.71亿,4557.63万,3710.77万,2.97,20.26万,70.49,1.166,0.775
002130,沃尔核材,7.29,91.85亿,0.124,71.19亿,34.68亿,36.51亿,265.02,71.41,11.77亿,1.81亿,1.56亿,4.70,43.33万,14.69,1.422,1.173
300360,炬华科技,10.21,51.50亿,0.120,28.78亿,3.98亿,24.80亿,23.05,39.55,2.14亿,7060.20万,6104.96万,2.52,52.75万,21.09,5.734,5.171
688616,西力科技,14.22,21.33亿,0.120,8.84亿,1.77亿,7.07亿,185.32,119.27,7276.02万,1536.57万,1323.66万,2.83,1.48万,40.29,4.755,4.490
