gpdm,gpmc,gplx,zxj,zsz,zsz_d,mgsy,roe,cjl_hand,syl_dynamic,zzc,zzc_d,zfz,zfz_d,gdqyhj,gdqyhj_d,jlrtb,ystbl,zys,zys_d,zlr,zlr_d,jlr,jlr_d,ldbl,sdbl,gsnzjz_jlr,gsnzjz_ys
002048,宁波华翔,汽车,20.26,126.9亿,12690000000.0,0.380,2.03,13.84万,13.30,194.26亿,19426000000.0,75.02亿,7502000000.0,119.24亿,11924000000.0,196.56,58.18,43.35亿,4335000000.0,3.69亿,369000000.0,2.39亿,239000000.0,1.762,1.392,152.62,47.45
603348,文灿股份,汽车,31.18,81.53亿,8153000000.0,0.192,1.92,4.66万,40.64,56.24亿,5624000000.0,29.99亿,2999000000.0,26.24亿,2624000000.0,389.15,307.41,10.51亿,1051000000.0,5929.14万,59291400.0,5015.44万,50154399.99999999,1.210,0.945,151.07,119.68
603982,泉峰汽车,汽车,15.40,31.02亿,3102000000.0,0.236,2.98,3.66万,16.41,23.24亿,2324000000.0,7.17亿,717000000.0,16.07亿,1607000000.0,285.11,72.27,4.23亿,423000000.00000006,5122.64万,51226400.0,4724.62万,47246200.0,1.645,1.170,136.58,36.12
603950,长源东谷,汽车,18.76,43.43亿,4343000000.0,0.440,4.99,1.08万,10.58,37.60亿,3760000000.0,16.42亿,1642000000.0000002,21.18亿,2118000000.0,131.87,89.52,5.08亿,508000000.0,1.22亿,122000000.0,1.03亿,103000000.0,1.969,1.693,119.79,82.52
300928,华安鑫创,汽车,46.50,37.20亿,3720000000.0000005,0.050,0.35,9858,212.63,13.72亿,1372000000.0,1.22亿,122000000.0,12.50亿,1250000000.0,1182.56,20.61,1.30亿,130000000.0,497.06万,4970600.0,437.37万,4373700.0,10.77,10.72,118.68,2.49
200581,苏威孚Ｂ,汽车,14.81,149.4亿,14940000000.0,0.870,4.61,1479,3.66,286.20亿,28620000000.0,89.35亿,8935000000.0,196.85亿,19685000000.0,56.65,69.55,47.00亿,4700000000.0,9.41亿,941000000.0,8.62亿,861999999.9999999,2.083,1.804,105.97,128.41
000581,威孚高科,汽车,20.80,209.9亿,20990000000.0,0.870,4.61,9.64万,6.09,286.20亿,28620000000.0,89.35亿,8935000000.0,196.85亿,19685000000.0,56.65,69.55,47.00亿,4700000000.0,9.41亿,941000000.0,8.62亿,861999999.9999999,2.083,1.804,105.97,128.41
300969,恒帅股份,汽车,34.34,27.47亿,2747000000.0,0.480,8.73,5844,23.77,4.70亿,470000000.0,1.24亿,124000000.0,3.46亿,346000000.0,103.21,117.62,1.36亿,136000000.0,3351.44万,33514400.0,2889.44万,28894400.0,2.539,1.937,103.16,117.0
603179,新泉股份,汽车,38.36,141.9亿,14190000000.0,0.260,2.75,1.82万,36.86,69.30亿,6930000000.0,33.20亿,3320000000.0000005,36.11亿,3611000000.0,192.58,68.43,11.18亿,1118000000.0,1.12亿,112000000.00000001,9622.34万,96223400.0,1.824,1.424,102.35,37.79
605319,无锡振华,汽车,15.10,30.20亿,3020000000.0,0.144,2.45,2.48万,26.16,24.20亿,2420000000.0,12.26亿,1226000000.0,11.94亿,1194000000.0,342.69,78.34,3.36亿,336000000.0,3619.95万,36199500.0,2886.00万,28860000.0,,,99.92,23.79
002708,光洋股份,汽车,5.66,27.59亿,2759000000.0,0.046,1.44,1.96万,31.78,26.59亿,2659000000.0,11.03亿,1103000000.0,15.56亿,1556000000.0,1058.94,34.03,4.42亿,442000000.0,3171.01万,31710100.000000004,2170.25万,21702500.0,1.352,0.981,97.81,3.52
603926,铁流股份,汽车,15.52,24.86亿,2486000000.0,0.331,4.11,2.16万,11.72,22.31亿,2231000000.0,8.99亿,899000000.0,13.32亿,1332000000.0,140.66,51.15,4.24亿,424000000.0,5868.02万,58680200.00000001,5304.33万,53043300.0,1.974,1.468,95.93,36.67
605068,明新旭腾,汽车,32.95,54.70亿,5470000000.0,0.440,4.16,9936,18.91,22.43亿,2243000000.0,4.65亿,465000000.00000006,17.78亿,1778000000.0,102.31,61.93,2.04亿,204000000.0,7921.67万,79216700.0,7230.73万,72307300.0,,,93.77,58.24
002454,松芝股份,汽车,5.89,37.02亿,3702000000.0000005,0.050,0.81,13.64万,31.25,67.19亿,6719000000.0,26.03亿,2603000000.0,41.16亿,4115999999.9999995,898.20,79.35,9.41亿,941000000.0,4726.61万,47266100.0,2962.21万,29622100.0,1.903,1.608,90.25,8.36
600699,均胜电子,汽车,25.16,344.2亿,34420000000.0,0.160,1.45,42.43万,38.85,553.91亿,55391000000.0,357.54亿,35754000000.0,196.37亿,19637000000.0,272.66,0.57,122.87亿,12287000000.0,3.28亿,328000000.0,2.21亿,221000000.0,1.293,0.947,88.61,1.54
603358,华达科技,汽车,17.92,78.68亿,7868000000.000001,0.213,3.30,3.96万,21.04,49.95亿,4995000000.0,19.61亿,1961000000.0,30.33亿,3033000000.0,203.54,77.98,8.93亿,893000000.0,1.16亿,115999999.99999999,9346.53万,93465300.0,1.652,1.030,88.52,35.03
603197,保隆科技,汽车,34.80,71.51亿,7151000000.000001,0.365,6.31,2.44万,23.83,40.97亿,4097000000.0,26.51亿,2651000000.0,14.46亿,1446000000.0,104.63,20.75,9.32亿,932000000.0,9853.90万,98539000.0,7503.01万,75030100.0,1.329,0.885,79.48,18.25
603286,日盈电子,汽车,15.20,13.39亿,1339000000.0,0.060,1.20,1.14万,58.98,8.09亿,809000000.0,3.08亿,308000000.0,5.02亿,501999999.99999994,635.10,81.16,1.23亿,123000000.0,809.35万,8093500.0,567.42万,5674200.0,1.365,1.052,76.72,10.25
300100,双林股份,汽车,10.48,42.61亿,4261000000.0,0.138,3.12,11.92万,18.99,55.90亿,5590000000.0,37.68亿,3768000000.0,18.23亿,1823000000.0,265.28,39.88,10.25亿,1025000000.0,7027.30万,70273000.0,5610.03万,56100300.0,0.952,0.690,74.39,12.18
300643,万通智控,汽车,14.71,33.83亿,3383000000.0,0.099,4.86,22.51万,37.31,9.52亿,952000000.0,4.74亿,474000000.0,4.78亿,478000000.0,330.46,18.04,2.32亿,231999999.99999997,2627.39万,26273900.0,2267.32万,22673200.0,1.547,1.075,66.27,4.41
002536,飞龙股份,汽车,8.77,43.91亿,4391000000.0,0.148,3.41,56.43万,14.83,40.71亿,4071000000.0,18.02亿,1802000000.0,22.69亿,2269000000.0,196.84,38.43,9.07亿,907000000.0,8041.68万,80416800.0,7402.10万,74021000.0,1.156,0.821,59.52,12.63
605128,上海沿浦,汽车,40.66,32.53亿,3253000000.0,0.259,2.04,4773,39.20,13.46亿,1346000000.0,3.18亿,318000000.0,10.28亿,1027999999.9999999,105.68,87.63,2.01亿,200999999.99999997,2595.28万,25952800.000000004,2074.25万,20742500.0,,,56.94,47.59
300580,贝斯特,汽车,22.49,44.98亿,4498000000.0,0.301,3.25,6.21万,18.69,28.07亿,2807000000.0,9.19亿,919000000.0,18.88亿,1888000000.0,89.04,48.06,2.72亿,272000000.0,6988.84万,69888400.0,6016.37万,60163700.0,4.291,3.819,56.16,31.49
603037,凯众股份,汽车,15.26,16.01亿,1601000000.0000002,0.210,2.50,8165,18.17,9.79亿,978999999.9999999,8674.69万,86746900.0,8.92亿,892000000.0,123.85,48.55,1.29亿,129000000.0,2607.22万,26072199.999999996,2202.08万,22020800.0,8.466,7.078,53.8,22.18
603949,雪龙集团,汽车,15.43,32.37亿,3236999999.9999995,0.200,4.31,3.36万,19.10,10.93亿,1093000000.0,8875.19万,88751900.0,10.04亿,1003999999.9999999,128.84,48.39,1.28亿,128000000.0,4878.15万,48781500.0,4236.94万,42369399.99999999,15.39,13.48,53.24,21.06
601689,拓普集团,汽车,35.99,396.6亿,39660000000.0,0.220,2.53,24.90万,40.30,149.80亿,14980000000.000002,49.36亿,4936000000.0,100.44亿,10044000000.0,116.41,100.80,24.26亿,2426000000.0,2.93亿,293000000.0,2.46亿,246000000.0,1.626,1.298,53.09,46.22
000589,贵州轮胎,汽车,5.45,52.12亿,5212000000.0,0.130,2.10,8.68万,12.72,125.75亿,12575000000.0,66.61亿,6661000000.0,59.13亿,5913000000.0,195.49,42.94,17.82亿,1782000000.0,1.22亿,122000000.0,1.02亿,102000000.0,1.034,0.913,51.93,12.27
300585,奥联电子,汽车,15.01,24.02亿,2402000000.0,0.086,3.39,13.93万,43.53,8.80亿,880000000.0000001,3.21亿,321000000.0,5.59亿,559000000.0,294.63,47.57,1.15亿,114999999.99999999,1475.35万,14753500.0,1379.24万,13792400.0,1.466,1.112,51.41,8.91
603305,旭升股份,汽车,40.03,178.9亿,17890000000.0,0.470,6.19,14.91万,42.43,52.10亿,5210000000.0,18.21亿,1821000000.0,33.89亿,3389000000.0,49.84,82.35,12.11亿,1211000000.0,2.49亿,249000000.00000003,2.11亿,211000000.0,1.353,0.984,50.84,81.4
301007,德迈仕,汽车,17.36,26.62亿,2662000000.0,0.111,4.46,2.86万,39.02,7.39亿,739000000.0,3.48亿,348000000.0,3.91亿,391000000.0,219.98,36.82,1.26亿,126000000.0,1857.06万,18570600.0,1705.74万,17057400.0,,,49.78,9.12
301005,超捷股份,汽车,52.85,30.19亿,3019000000.0,0.338,6.92,7751,39.07,4.10亿,409999999.99999994,1.22亿,122000000.0,2.89亿,289000000.0,66.79,59.35,9307.05万,93070500.0,2222.86万,22228600.0,1932.05万,19320500.0,,,48.02,42.99
002921,联诚精密,汽车,15.27,16.20亿,1620000000.0,0.262,3.21,2.02万,14.55,15.70亿,1570000000.0,6.73亿,673000000.0,8.97亿,897000000.0000001,83.00,45.31,2.75亿,275000000.0,3479.32万,34793200.0,2782.41万,27824100.0,2.142,1.420,45.72,25.97
600166,福田汽车,汽车,3.90,256.4亿,25639999999.999996,0.094,3.85,327.50万,21.10,544.08亿,54408000000.00001,383.66亿,38366000000.0,160.42亿,16041999999.999998,238.77,17.33,319.31亿,31931000000.0,5.54亿,554000000.0,6.08亿,608000000.0,0.715,0.522,45.69,4.06
603655,朗博科技,汽车,20.90,22.15亿,2215000000.0,0.080,1.71,1.26万,63.16,5.49亿,549000000.0,3247.75万,32477500.0,5.17亿,517000000.0,253.10,77.90,5034.23万,50342299.99999999,1024.26万,10242600.0,876.87万,8768700.0,13.80,13.06,41.18,13.14
688208,道通科技,汽车,77.24,347.6亿,34760000000.0,0.240,4.23,3.26万,78.95,33.89亿,3389000000.0,9.46亿,946000000.0000001,24.43亿,2443000000.0,78.51,62.07,4.54亿,454000000.0,1.04亿,104000000.0,1.10亿,110000000.00000001,3.177,2.546,39.72,31.83
605005,合兴股份,汽车,16.18,64.88亿,6488000000.0,0.130,4.01,2.14万,32.20,16.63亿,1663000000.0,3.11亿,311000000.0,13.52亿,1352000000.0,142.61,58.56,3.16亿,316000000.0,5793.91万,57939100.0,5037.44万,50374399.99999999,,,38.18,16.33
603161,科华控股,汽车,13.70,18.28亿,1828000000.0,0.230,2.27,2.22万,15.22,42.08亿,4208000000.0,28.71亿,2871000000.0,13.38亿,1338000000.0,71.38,42.15,5.06亿,505999999.99999994,2909.23万,29092300.0,3001.56万,30015600.0,1.024,0.786,34.79,21.34
600327,大东方,汽车,6.57,58.13亿,5813000000.0,0.122,3.11,14.83万,13.47,76.50亿,7650000000.0,39.12亿,3911999999.9999995,37.38亿,3738000000.0000005,137.04,59.22,21.47亿,2147000000.0,1.36亿,136000000.0,1.08亿,108000000.0,1.458,0.740,34.47,15.49
300473,德尔股份,汽车,25.20,34.00亿,3400000000.0,0.185,1.30,3.36万,34.05,48.98亿,4898000000.0,29.65亿,2965000000.0,19.33亿,1932999999.9999998,86.45,16.84,9.67亿,967000000.0,3774.85万,37748500.0,2496.23万,24962300.0,1.025,0.633,33.56,7.8
603809,豪能股份,汽车,16.25,49.22亿,4922000000.0,0.219,3.74,5.36万,18.56,34.69亿,3469000000.0,14.79亿,1479000000.0,19.89亿,1989000000.0,66.31,69.78,3.66亿,366000000.0,8328.30万,83283000.0,6630.80万,66308000.0,1.331,0.937,30.91,32.43
