gpdm,gpmc,gplx,zxj,zsz,zsz_d,mgsy,roe,cjl_hand,syl_dynamic,zzc,zzc_d,zfz,zfz_d,gdqyhj,gdqyhj_d,jlrtb,ystbl,zys,zys_d,zlr,zlr_d,jlr,jlr_d,ldbl,sdbl,gsnzjz_jlr,gsnzjz_ys
300613,富瀚微,安防,186.96,224.5亿,22450000000.0,0.289,2.56,3.47万,161.84,15.68亿,1568000000.0,1.95亿,195000000.0,13.73亿,1373000000.0,14.30,34.90,2.12亿,212000000.0,3832.85万,38328500.0,3468.13万,34681300.0,5.323,4.196,10.72,22.63
688038,中科通达,安防,23.73,27.62亿,2762000000.0,0.045,1.02,3.46万,133.19,10.00亿,1000000000.0,4.90亿,490000000.00000006,5.09亿,509000000.0,97.34,179.98,6254.32万,62543200.0,573.48万,5734800.0,518.35万,5183500.0,1.538,1.331,9.14,16.58
600580,卧龙电驱,安防,13.16,173.1亿,17310000000.0,0.100,1.70,30.79万,32.88,208.99亿,20899000000.0,126.03亿,12603000000.0,82.96亿,8295999999.999999,40.68,6.85,29.88亿,2988000000.0,1.74亿,174000000.0,1.32亿,132000000.0,1.249,0.914,8.99,2.22
002152,广电运通,安防,10.64,264.2亿,26420000000.0,0.080,2.01,27.72万,32.64,157.94亿,15794000000.0,40.50亿,4050000000.0,117.44亿,11744000000.0,40.82,11.05,12.68亿,1268000000.0,2.61亿,261000000.0,2.02亿,202000000.0,2.837,2.432,7.21,2.45
000938,紫光股份,安防,28.28,808.8亿,80880000000.0,0.096,0.97,82.31万,73.48,569.52亿,56952000000.0,234.99亿,23499000000.0,334.53亿,33452999999.999996,32.78,34.51,135.07亿,13507000000.0,6.65亿,665000000.0,2.75亿,275000000.0,1.602,1.114,7.11,7.44
300130,新国都,安防,10.38,50.78亿,5078000000.0,0.110,2.15,5.02万,23.95,36.24亿,3624000000.0,11.44亿,1144000000.0,24.79亿,2479000000.0,20.67,42.17,7.05亿,705000000.0,5557.11万,55571100.0,5299.54万,52995400.0,3.303,3.008,5.48,10.21
002373,千方科技,安防,15.90,251.4亿,25140000000.0,0.089,1.17,20.35万,44.82,185.00亿,18500000000.0,61.29亿,6129000000.0,123.71亿,12371000000.0,21.64,7.50,17.76亿,1776000000.0000002,1.46亿,146000000.0,1.40亿,140000000.0,2.034,1.530,4.61,2.09
002273,水晶光电,安防,13.92,169.5亿,16950000000.0,0.080,1.69,37.15万,44.07,72.05亿,7205000000.0,11.58亿,1158000000.0,60.47亿,6047000000.0,20.71,45.18,8.66亿,866000000.0,1.12亿,112000000.00000001,9614.58万,96145800.0,2.810,2.326,3.99,7.91
002253,川大智胜,安防,14.52,32.76亿,3276000000.0,0.024,0.37,5.04万,152.83,17.73亿,1773000000.0,2.74亿,274000000.0,14.98亿,1498000000.0,75.55,36.00,5033.57万,50335700.0,528.00万,5280000.0,535.89万,5358900.0,4.312,2.674,3.83,1.93
300701,森霸传感,安防,20.18,36.32亿,3632000000.0,0.157,4.08,4.32万,32.12,7.69亿,769000000.0,6293.11万,62931100.0,7.06亿,706000000.0,7.01,32.39,7595.42万,75954200.0,3350.88万,33508800.0,2827.07万,28270700.0,11.44,10.72,3.54,11.5
600602,云赛智联,安防,5.31,72.62亿,7262000000.0,0.027,0.84,4.14万,50.17,62.16亿,6216000000.0,16.65亿,1664999999.9999998,45.51亿,4551000000.0,57.58,23.92,11.82亿,1182000000.0,4277.57万,42775700.0,3618.57万,36185700.0,3.359,2.967,3.34,1.52
300155,安居宝,安防,7.75,42.11亿,4211000000.0,0.005,0.21,27.34万,381.84,16.77亿,1677000000.0,3.28亿,328000000.0,13.49亿,1349000000.0,325.04,62.67,1.29亿,129000000.0,236.15万,2361500.0,275.71万,2757100.0,4.141,3.284,3.29,0.67
