gpdm,gpmc,gplx,zxj,zsz,zsz_d,mgsy,roe,cjl_hand,syl_dynamic,zzc,zzc_d,zfz,zfz_d,gdqyhj,gdqyhj_d,jlrtb,ystbl,zys,zys_d,zlr,zlr_d,jlr,jlr_d,ldbl,sdbl,gsnzjz_jlr,gsnzjz_ys
600908,无锡银行,银行,5.78,107.6亿,10760000000.0,0.195,2.56,18.31万,6.90,1911.13亿,191113000000.0,1766.12亿,176612000000.0,145.02亿,14502000000.000002,5.96,3.62,10.99亿,1099000000.0,4.13亿,413000000.0,3.63亿,363000000.0,,,3.98,3.07
601328,交通银行,银行,4.32,3208亿,320800000000.0,0.300,2.95,91.76万,3.65,11.17万亿,11170000000000.0,10.27万亿,10270000000000.0,9020.96亿,902095999999.9999,2.31,5.14,683.44亿,68344000000.00001,249.66亿,24966000000.0,219.46亿,21946000000.0,,,3.94,5.63
601128,常熟银行,银行,5.89,161.4亿,16140000000.0,0.190,2.92,41.75万,8.09,2294.53亿,229453000000.00003,2096.67亿,209667000000.0,197.87亿,19787000000.0,4.84,5.03,17.83亿,1782999999.9999998,7.05亿,705000000.0,5.34亿,534000000.0,,,3.45,3.53
601398,工商银行,银行,4.60,16395亿,1639500000000.0,0.240,3.16,214.32万,4.78,34.37万亿,34369999999999.996,31.37万亿,31370000000000.0,2.99万亿,2990000000000.0,1.46,3.18,2341.91亿,234191000000.0,1084.20亿,108420000000.0,857.30亿,85730000000.0,,,2.74,3.57
601988,中国银行,银行,3.01,8861亿,886100000000.0,0.180,3.04,160.14万,4.10,25.83万亿,25830000000000.0,23.65万亿,23650000000000.0,2.19万亿,2190000000000.0,2.67,6.58,1578.55亿,157855000000.0,720.58亿,72058000000.0,539.89亿,53989000000.0,,,2.49,3.9
601288,农业银行,银行,2.94,10290亿,1029000000000.0,0.180,3.41,236.23万,3.91,28.55万亿,28550000000000.0,26.28万亿,26280000000000.0,2.27万亿,2270000000000.0,2.61,4.15,1944.52亿,194452000000.0,808.30亿,80830000000.0,658.61亿,65861000000.0,,,2.47,3.02
600000,浦发银行,银行,9.13,2680亿,268000000000.0,0.637,3.35,45.71万,3.58,8.07万亿,8070000000000.0,7.40万亿,7400000000000.0,6634.65亿,663465000000.0,7.70,-10.65,495.22亿,49522000000.0,223.07亿,22307000000.0,186.97亿,18697000000.0,,,,
601997,贵阳银行,银行,6.68,244.2亿,24420000000.0,0.430,4.06,16.64万,3.89,5983.30亿,598330000000.0,5523.21亿,552321000000.0,460.09亿,46009000000.0,4.39,-14.70,35.38亿,3538000000.0000005,18.11亿,1811000000.0,15.72亿,1572000000.0,,,,
600016,民生银行,银行,4.01,1756亿,175600000000.0,0.340,3.16,80.08万,2.98,7.06万亿,7060000000000.0,6.51万亿,6510000000000.0,5567.54亿,556754000000.0,-11.43,-12.69,430.72亿,43072000000.0,168.86亿,16886000000.000002,147.47亿,14747000000.0,,,,
601169,北京银行,银行,4.34,917.6亿,91760000000.0,0.330,3.37,67.20万,3.33,3.03万亿,3030000000000.0,2.80万亿,2800000000000.0,2282.09亿,228209000000.0,3.46,-3.24,172.65亿,17265000000.0,79.92亿,7992000000.0,68.98亿,6898000000.0,,,,
601187,厦门银行,银行,8.57,226.2亿,22620000000.0,0.200,2.89,14.45万,10.51,2865.76亿,286576000000.0,2647.63亿,264763000000.0,218.13亿,21813000000.0,5.37,-16.68,11.56亿,1156000000.0,5.81亿,581000000.0,5.38亿,538000000.0,,,,
601916,浙商银行,银行,3.64,774.2亿,77420000000.0,0.170,3.70,24.94万,4.23,2.06万亿,2060000000000.0,1.92万亿,1920000000000.0,1363.13亿,136313000000.00002,1.06,-3.43,130.02亿,13002000000.000002,58.21亿,5821000000.0,45.76亿,4576000000.0,,,,
601528,瑞丰银行,银行,11.21,169.2亿,16919999999.999998,0.166,2.25,25.82万,16.83,1328.83亿,132883000000.0,1213.57亿,121357000000.0,115.26亿,11526000000.0,7.19,-3.75,7.51亿,751000000.0,2.55亿,254999999.99999997,2.51亿,250999999.99999997,,,,
600928,西安银行,银行,4.33,192.4亿,19240000000.0,0.160,2.73,13.38万,6.79,3106.13亿,310613000000.0,2842.77亿,284277000000.0,263.36亿,26336000000.0,-8.04,7.73,18.94亿,1894000000.0000002,8.41亿,841000000.0,7.08亿,708000000.0,,,,
002936,郑州银行,银行,3.46,260.0亿,26000000000.0,0.150,3.02,12.13万,5.78,5543.88亿,554388000000.0,5072.15亿,507214999999.99994,471.73亿,47173000000.0,2.76,-14.35,31.94亿,3194000000.0,14.30亿,1430000000.0,11.25亿,1125000000.0,,,,
603323,苏农银行,银行,4.67,84.20亿,8420000000.0,0.141,2.08,24.03万,8.28,1428.21亿,142821000000.0,1303.36亿,130335999999.99998,124.85亿,12485000000.0,4.78,-0.82,9.19亿,919000000.0,2.92亿,292000000.0,2.54亿,254000000.0,,,,
002948,青岛银行,银行,4.65,209.7亿,20970000000.0,0.140,2.83,13.49万,8.12,4649.73亿,464972999999.99994,4332.04亿,433204000000.0,317.69亿,31769000000.0,16.34,-2.57,28.40亿,2840000000.0,7.17亿,717000000.0,6.45亿,645000000.0,,,,
002807,江阴银行,银行,3.79,82.32亿,8231999999.999999,0.105,1.87,13.46万,9.02,1439.84亿,143984000000.0,1315.39亿,131539000000.00002,124.45亿,12445000000.0,8.61,-4.29,8.15亿,815000000.0,1.76亿,176000000.0,2.28亿,227999999.99999997,,,,
601860,紫金银行,银行,3.25,119.0亿,11900000000.0,0.090,2.20,22.18万,9.02,2283.85亿,228385000000.0,2131.90亿,213190000000.0,151.94亿,15194000000.0,2.18,-22.14,10.39亿,1039000000.0,3.74亿,374000000.0,3.30亿,330000000.0,,,,
002958,青农商行,银行,3.92,217.8亿,21780000000.0,0.164,3.34,33.14万,5.96,4232.92亿,423292000000.0,3906.35亿,390635000000.0,326.58亿,32658000000.0,6.96,-6.08,26.60亿,2660000000.0,10.21亿,1021000000.0000001,9.13亿,913000000.0000001,,,,
