gpdm,gpmc,gplx,zxj,zsz,zsz_d,mgsy,roe,cjl_hand,syl_dynamic,zzc,zzc_d,zfz,zfz_d,gdqyhj,gdqyhj_d,jlrtb,ystbl,zys,zys_d,zlr,zlr_d,jlr,jlr_d,ldbl,sdbl,gsnzjz_jlr,gsnzjz_ys
000009,中国宝安,充电桩,22.26,574.1亿,57410000000.0,0.074,2.72,100.18万,75.44,322.33亿,32233000000.0,186.57亿,18657000000.0,135.76亿,13576000000.0,373.43,128.15,37.15亿,3715000000.0,4.46亿,446000000.0,1.90亿,190000000.0,1.765,1.016,55.9,19.6
300644,南京聚隆,充电桩,18.77,20.42亿,2042000000.0000002,0.139,2.07,2.24万,33.84,14.31亿,1431000000.0,6.86亿,686000000.0,7.46亿,746000000.0,196.34,150.83,3.76亿,376000000.0,1634.63万,16346300.000000002,1508.60万,15086000.0,1.583,1.065,55.76,43.11
002249,大洋电机,充电桩,6.61,156.4亿,15640000000.0,0.060,1.52,106.80万,29.96,143.09亿,14309000000.0,54.77亿,5477000000.0,88.32亿,8832000000.0,459.51,44.90,22.08亿,2208000000.0,1.60亿,160000000.0,1.30亿,130000000.0,1.991,1.441,55.65,5.9
000828,东莞控股,充电桩,10.63,110.5亿,11050000000.0,0.231,3.04,9.13万,11.51,150.00亿,15000000000.0,52.49亿,5249000000.0,97.51亿,9751000000.0,115.47,111.14,3.46亿,346000000.0,2.98亿,298000000.0,2.40亿,240000000.0,1.662,1.662,55.31,53.31
300811,铂科新材,充电桩,71.60,74.23亿,7423000000.0,0.193,2.30,3.08万,92.60,10.86亿,1086000000.0,2.03亿,202999999.99999997,8.83亿,883000000.0,132.91,91.16,1.35亿,135000000.0,2381.50万,23815000.0,2004.22万,20042200.0,5.165,4.658,52.94,36.83
002533,金杯电工,充电桩,8.41,61.74亿,6174000000.0,0.227,4.91,84.45万,18.70,74.80亿,7480000000.0,39.30亿,3929999999.9999995,35.50亿,3550000000.0,111.36,96.08,56.43亿,5643000000.0,2.06亿,206000000.0,1.65亿,165000000.0,1.676,1.123,52.49,45.55
605358,立昂微,充电桩,169.00,677.0亿,67700000000.0,0.190,4.00,5.07万,223.29,68.85亿,6884999999.999999,42.88亿,4288000000.0000005,25.96亿,2596000000.0,133.38,49.21,4.62亿,462000000.0,9054.54万,90545400.00000001,7579.45万,75794500.0,,,52.3,20.31
603989,艾华集团,充电桩,35.01,139.9亿,13990000000.0,0.282,4.24,4.04万,31.01,43.85亿,4385000000.0,15.45亿,1545000000.0,28.40亿,2840000000.0,83.53,58.10,6.74亿,674000000.0,1.34亿,134000000.00000001,1.13亿,112999999.99999999,3.073,2.472,49.51,35.17
300438,鹏辉能源,充电桩,37.40,156.9亿,15690000000.0,0.130,2.20,50.96万,71.68,71.46亿,7145999999.999999,45.25亿,4525000000.0,26.21亿,2621000000.0,171.16,138.75,10.62亿,1061999999.9999999,6460.12万,64601200.0,5472.71万,54727100.0,1.287,0.977,45.61,37.18
688616,西力科技,充电桩,14.22,21.33亿,2132999999.9999998,0.120,2.83,1.48万,40.29,8.84亿,884000000.0,1.77亿,177000000.0,7.07亿,707000000.0,185.32,119.27,7276.02万,72760200.0,1536.57万,15365700.0,1323.66万,13236600.0,4.755,4.490,45.5,29.64
300843,胜蓝股份,充电桩,33.51,49.90亿,4990000000.0,0.220,3.83,4.49万,37.68,14.07亿,1407000000.0,5.05亿,505000000.0,9.02亿,902000000.0,98.71,142.18,3.08亿,308000000.0,3899.48万,38994800.0,3310.32万,33103200.0,2.312,1.996,45.3,64.43
002300,太阳电缆,充电桩,5.72,37.56亿,3756000000.0,0.032,1.28,4.98万,45.45,40.33亿,4033000000.0,22.51亿,2251000000.0,17.82亿,1782000000.0,703.18,67.74,20.67亿,2067000000.0000002,4261.22万,42612200.0,2065.97万,20659699.999999996,1.653,1.187,45.28,4.61
300830,金现代,充电桩,9.39,40.39亿,4039000000.0,0.010,0.46,6.49万,196.44,11.66亿,1166000000.0,5086.49万,50864900.0,11.15亿,1115000000.0,2240.05,24.95,6019.52万,60195200.00000001,597.08万,5970800.0,514.00万,5140000.0,22.58,20.31,44.89,0.58
002090,金智科技,充电桩,9.29,37.56亿,3756000000.0,0.074,2.21,10.04万,31.58,29.10亿,2910000000.0,15.39亿,1539000000.0,13.71亿,1371000000.0,288.52,19.52,3.55亿,355000000.0,3671.16万,36711600.0,2973.33万,29733300.0,1.594,1.409,43.33,3.52
601727,上海电气,充电桩,4.33,680.1亿,68010000000.0,0.042,0.96,257.23万,25.70,3129.10亿,312910000000.0,2033.37亿,203337000000.0,1095.73亿,109573000000.0,482.68,73.84,255.63亿,25563000000.0,10.69亿,1069000000.0,6.61亿,661000000.0,1.297,1.095,40.9,6.56
002837,英维克,充电桩,25.31,81.56亿,8156000000.0,0.100,2.19,2.61万,65.47,29.29亿,2929000000.0,14.92亿,1492000000.0,14.37亿,1437000000.0,195.62,57.53,3.42亿,342000000.0,3496.91万,34969100.0,3114.21万,31142100.0,1.618,1.203,39.97,12.36
300403,汉宇集团,充电桩,6.58,39.68亿,3968000000.0,0.127,4.96,11.32万,12.95,22.36亿,2236000000.0,6.57亿,657000000.0,15.80亿,1580000000.0,151.98,50.73,2.79亿,279000000.0,8531.28万,85312800.0,7657.93万,76579300.0,1.646,1.255,39.68,13.96
300286,安科瑞,充电桩,20.38,43.78亿,4378000000.0,0.460,10.87,16.39万,23.46,12.90亿,1290000000.0,4.43亿,443000000.0,8.47亿,847000000.0000001,38.64,52.18,4.73亿,473000000.00000006,1.04亿,104000000.0,9328.49万,93284900.0,2.140,1.526,39.46,51.92
300623,捷捷微电,充电桩,37.66,277.4亿,27739999999.999996,0.136,3.95,48.45万,69.14,30.69亿,3069000000.0,4.65亿,465000000.00000006,26.04亿,2604000000.0,139.83,137.32,3.65亿,365000000.0,1.20亿,120000000.0,1.00亿,100000000.0,4.247,3.805,39.19,38.51
300582,英飞特,充电桩,35.28,104.6亿,10460000000.0,0.125,2.97,20.26万,70.49,20.29亿,2029000000.0,7.60亿,760000000.0,12.68亿,1268000000.0,127.35,58.89,2.71亿,271000000.0,4557.63万,45576300.0,3710.77万,37107700.0,1.166,0.775,32.9,15.79
300693,盛弘股份,充电桩,41.18,84.53亿,8453000000.0,0.143,3.81,60.22万,72.18,12.37亿,1237000000.0,4.52亿,451999999.99999994,7.85亿,785000000.0,100.22,65.62,1.81亿,181000000.0,3274.60万,32746000.0,2927.84万,29278400.0,2.146,1.767,29.88,19.98
300820,英杰电气,充电桩,80.20,76.45亿,7645000000.0,0.297,2.64,3.03万,67.44,15.45亿,1545000000.0,4.57亿,457000000.0,10.88亿,1088000000.0,44.88,24.72,1.13亿,112999999.99999999,3277.85万,32778500.0,2834.20万,28342000.0,3.239,2.396,29.18,17.21
000027,深圳能源,充电桩,8.63,410.6亿,41060000000.0,0.099,1.74,51.19万,13.31,1201.33亿,120133000000.0,749.14亿,74914000000.0,452.18亿,45218000000.0,124.53,59.34,56.98亿,5698000000.0,6.45亿,645000000.0,4.71亿,471000000.0,1.191,1.143,25.5,12.59
300960,通业科技,充电桩,30.85,31.59亿,3159000000.0,0.060,1.17,7.68万,174.34,9.20亿,919999999.9999999,2.83亿,283000000.0,6.36亿,636000000.0,206.93,18.07,4736.42万,47364200.0,542.85万,5428500.0,452.94万,4529400.0,3.653,3.103,25.34,2.68
600163,中闽能源,充电桩,5.32,89.87亿,8987000000.0,0.103,4.68,33.73万,12.96,106.22亿,10622000000.0,66.84亿,6684000000.0,39.38亿,3938000000.0000005,117.95,72.40,3.81亿,381000000.0,2.10亿,210000000.0,1.73亿,173000000.0,1.240,1.228,25.17,15.79
002441,众业达,充电桩,8.33,45.36亿,4536000000.0,0.230,3.04,7.42万,9.11,64.62亿,6462000000.0,22.15亿,2215000000.0,42.47亿,4247000000.0,42.84,70.28,24.89亿,2489000000.0,1.69亿,169000000.0,1.25亿,125000000.0,2.418,1.764,21.66,34.28
002255,海陆重工,充电桩,4.08,34.36亿,3436000000.0,0.089,2.60,11.59万,11.42,50.61亿,5061000000.0,21.07亿,2107000000.0,29.54亿,2954000000.0,114.92,69.72,3.53亿,353000000.0,8249.27万,82492700.0,7522.25万,75222500.0,1.590,1.034,21.21,13.17
000875,吉电股份,充电桩,6.14,171.3亿,17130000000.000002,0.153,5.31,237.96万,10.06,579.91亿,57991000000.0,439.79亿,43979000000.0,140.12亿,14012000000.0,61.55,40.81,35.10亿,3510000000.0,5.69亿,569000000.0,4.26亿,426000000.0,0.642,0.634,20.13,13.79
000887,中鼎股份,充电桩,15.25,186.2亿,18620000000.0,0.195,2.63,38.18万,19.59,187.27亿,18727000000.0,95.93亿,9593000000.0,91.34亿,9134000000.0,45.34,27.26,31.96亿,3196000000.0,3.09亿,309000000.0,2.38亿,238000000.0,2.011,1.571,19.34,12.29
