gpdm,gpmc,gplx,zxj,zsz,zsz_d,mgsy,roe,cjl_hand,syl_dynamic,zzc,zzc_d,zfz,zfz_d,gdqyhj,gdqyhj_d,jlrtb,ystbl,zys,zys_d,zlr,zlr_d,jlr,jlr_d,ldbl,sdbl,gsnzjz_jlr,gsnzjz_ys
600109,国金证券,券商,11.15,337.2亿,33720000000.0,0.158,2.10,62.10万,17.69,689.91亿,68991000000.0,460.55亿,46055000000.0,229.36亿,22936000000.0,0.08,8.72,15.13亿,1513000000.0,6.40亿,640000000.0,4.77亿,476999999.99999994,,,1.37,4.1
600095,湘财股份,券商,10.18,290.6亿,29060000000.000004,0.044,1.16,49.75万,58.34,363.10亿,36310000000.0,255.41亿,25541000000.0,107.69亿,10769000000.0,7.03,83.64,10.53亿,1052999999.9999999,1.78亿,178000000.0,1.25亿,125000000.0,1.233,1.232,0.99,7.73
002673,西部证券,券商,7.59,339.2亿,33920000000.0,0.060,1.00,33.75万,32.46,642.88亿,64288000000.0,379.30亿,37930000000.0,263.59亿,26358999999.999996,2.97,36.37,12.55亿,1255000000.0,3.52亿,352000000.0,2.61亿,261000000.0,,,0.87,4.87
601066,中信建投,券商,27.23,2112亿,211200000000.0,0.210,2.77,36.68万,23.32,3903.38亿,390338000000.0,3207.61亿,320761000000.0,695.76亿,69576000000.0,-11.74,9.63,48.04亿,4804000000.0,20.48亿,2048000000.0,17.22亿,1722000000.0,,,,
601788,光大证券,券商,15.71,724.4亿,72440000000.0,0.150,1.33,61.72万,16.01,2365.93亿,236592999999.99997,1828.45亿,182845000000.0,537.49亿,53749000000.0,-36.88,18.06,33.27亿,3327000000.0000005,9.36亿,936000000.0,6.97亿,697000000.0,,,,
000686,东北证券,券商,7.96,186.3亿,18630000000.0,0.140,2.01,22.55万,13.23,732.94亿,73294000000.0,555.52亿,55552000000.0,177.43亿,17743000000.0,1.39,-28.20,12.97亿,1297000000.0,4.25亿,425000000.0,3.38亿,338000000.0,,,,
002926,华西证券,券商,8.99,236.0亿,23600000000.0,0.120,1.49,24.27万,12.69,778.09亿,77809000000.0,561.53亿,56153000000.0,216.56亿,21656000000.0,-14.42,4.43,9.56亿,956000000.0,4.26亿,426000000.0,3.21亿,321000000.0,,,,
600918,中泰证券,券商,9.48,660.6亿,66060000000.0,0.100,1.98,142.21万,24.79,1818.75亿,181875000000.0,1468.28亿,146828000000.0,350.47亿,35047000000.0,-11.32,1.35,24.49亿,2449000000.0,8.34亿,834000000.0,6.66亿,666000000.0,,,,
002939,长城证券,券商,9.48,294.2亿,29420000000.0,0.098,1.67,19.11万,17.65,807.83亿,80783000000.0,619.35亿,61935000000.0,188.48亿,18848000000.0,-17.69,-2.04,14.17亿,1417000000.0,3.37亿,337000000.0,3.04亿,304000000.0,,,,
600155,华创阳安,券商,9.61,167.2亿,16719999999.999998,0.080,0.90,19.16万,30.59,489.70亿,48970000000.0,339.85亿,33985000000.000004,149.85亿,14985000000.0,4.84,-12.78,6.55亿,655000000.0,1.89亿,189000000.0,1.37亿,137000000.0,1.755,1.755,,
600621,华鑫股份,券商,16.33,173.2亿,17320000000.0,0.070,1.14,42.08万,54.92,282.36亿,28236000000.0,211.36亿,21136000000.0,71.00亿,7100000000.0,-19.28,7.63,4.48亿,448000000.00000006,1.08亿,108000000.0,7886.51万,78865100.0,1.500,1.500,,
601236,红塔证券,券商,-,485.4亿,48540000000.0,0.060,1.60,-,51.87,375.34亿,37534000000.0,225.88亿,22588000000.0,149.45亿,14944999999.999998,-51.69,45.20,16.58亿,1657999999.9999998,3.14亿,314000000.0,2.34亿,234000000.0,,,,
601456,国联证券,券商,12.93,307.5亿,30750000000.0,0.070,1.47,26.02万,48.87,530.56亿,53055999999.99999,423.09亿,42309000000.0,107.47亿,10747000000.0,-31.40,-4.95,4.71亿,471000000.0,2.07亿,206999999.99999997,1.57亿,157000000.0,,,,
601990,南京证券,券商,10.84,399.6亿,39960000000.0,0.050,1.11,126.01万,56.54,458.94亿,45894000000.0,298.11亿,29811000000.0,160.83亿,16083000000.000002,-23.46,-14.71,4.93亿,493000000.0,2.28亿,227999999.99999997,1.77亿,177000000.0,,,,
600906,财达证券,券商,14.62,474.4亿,47440000000.0,0.065,2.33,100.19万,56.43,399.42亿,39942000000.0,308.03亿,30802999999.999996,91.39亿,9139000000.0,4.28,-16.76,4.99亿,499000000.0,2.80亿,280000000.0,2.10亿,210000000.0,,,,
