股票代码,股票名称,最新价,总市值,每股收益,总资产,总负债,股东权益合计,净利润同比,营收同比率,总营收,总利润,净利润,净资产收益率-ROE,成交量-手,市盈率-动态,流动比率,速动比率
603161,科华控股,13.70,18.28亿,0.230,42.08亿,28.71亿,13.38亿,71.38,42.15,5.06亿,2909.23万,3001.56万,2.27,2.22万,15.22,1.024,0.786
601238,广汽集团,14.43,1494亿,0.229,1409.98亿,518.54亿,891.44亿,1896.65,47.31,160.24亿,22.83亿,23.66亿,2.76,67.57万,15.79,1.347,1.153
603089,正裕工业,8.78,19.54亿,0.228,18.55亿,6.29亿,12.26亿,928.13,76.09,3.29亿,5584.44万,5079.69万,4.84,2.67万,9.61,2.075,1.292
603730,岱美股份,16.05,116.3亿,0.223,53.30亿,12.62亿,40.68亿,3.18,5.36,11.83亿,1.86亿,1.62亿,4.06,1.32万,17.97,3.385,2.206
601689,拓普集团,35.99,396.6亿,0.220,149.80亿,49.36亿,100.44亿,116.41,100.80,24.26亿,2.93亿,2.46亿,2.53,24.90万,40.30,1.626,1.298
300863,卡倍亿,72.87,40.25亿,0.220,13.04亿,7.12亿,5.92亿,22.82,197.64,4.38亿,1376.24万,1203.28万,2.05,1.26万,83.62,1.249,0.964
603013,亚普股份,13.28,68.29亿,0.220,64.41亿,28.11亿,36.30亿,45.05,17.09,19.82亿,1.53亿,1.15亿,3.31,1.24万,14.87,1.878,1.423
603809,豪能股份,16.25,49.22亿,0.219,34.69亿,14.79亿,19.89亿,66.31,69.78,3.66亿,8328.30万,6630.80万,3.74,5.36万,18.56,1.331,0.937
603358,华达科技,17.92,78.68亿,0.213,49.95亿,19.61亿,30.33亿,203.54,77.98,8.93亿,1.16亿,9346.53万,3.30,3.96万,21.04,1.652,1.030
603037,凯众股份,15.26,16.01亿,0.210,9.79亿,8674.69万,8.92亿,123.85,48.55,1.29亿,2607.22万,2202.08万,2.50,8165,18.17,8.466,7.078
603949,雪龙集团,15.43,32.37亿,0.200,10.93亿,8875.19万,10.04亿,128.84,48.39,1.28亿,4878.15万,4236.94万,4.31,3.36万,19.10,15.39,13.48
605133,嵘泰股份,18.92,30.27亿,0.200,20.53亿,4.26亿,16.27亿,56.00,64.43,2.87亿,3614.24万,3267.71万,2.64,1.82万,23.16,,
603348,文灿股份,31.18,81.53亿,0.192,56.24亿,29.99亿,26.24亿,389.15,307.41,10.51亿,5929.14万,5015.44万,1.92,4.66万,40.64,1.210,0.945
603788,宁波高发,12.75,28.44亿,0.190,22.22亿,2.70亿,19.52亿,19.83,28.01,2.18亿,5079.30万,4313.70万,2.23,1.30万,16.48,7.670,6.991
300473,德尔股份,25.20,34.00亿,0.185,48.98亿,29.65亿,19.33亿,86.45,16.84,9.67亿,3774.85万,2496.23万,1.30,3.36万,34.05,1.025,0.633
603239,浙江仙通,14.60,39.53亿,0.180,12.06亿,1.89亿,10.17亿,54.09,41.21,1.98亿,5763.82万,4890.20万,4.93,2.52万,20.21,4.180,3.548
603306,华懋科技,46.98,145.0亿,0.180,28.16亿,2.85亿,25.31亿,79.14,105.34,2.65亿,6500.68万,5595.81万,2.25,7.14万,64.80,9.882,9.223
605151,西上海,17.47,23.29亿,0.180,17.58亿,5.37亿,12.22亿,63.94,58.92,2.76亿,3947.13万,2449.36万,2.13,6573,23.78,,
601633,长城汽车,63.71,5863亿,0.178,1459.89亿,894.43亿,565.46亿,-,150.62,311.17亿,18.95亿,16.39亿,2.83,52.36万,83.81,1.265,1.145
603768,常青股份,15.79,32.21亿,0.170,38.21亿,20.22亿,17.99亿,-,82.82,7.80亿,4312.39万,3457.07万,1.94,5262,23.29,1.042,0.745
300893,松原股份,21.05,31.57亿,0.170,9.32亿,1.96亿,7.37亿,84.47,84.01,1.61亿,2866.23万,2547.87万,3.52,1.29万,30.98,3.591,3.011
688529,豪森股份,32.25,41.28亿,0.160,27.43亿,16.96亿,10.48亿,-45.17,6.31,5.52亿,2064.14万,2088.40万,1.98,4.00万,98.83,1.326,0.532
600699,均胜电子,25.16,344.2亿,0.160,553.91亿,357.54亿,196.37亿,272.66,0.57,122.87亿,3.28亿,2.21亿,1.45,42.43万,38.85,1.293,0.947
002283,天润工业,5.76,65.41亿,0.152,83.83亿,31.80亿,52.03亿,95.54,70.98,15.73亿,2.01亿,1.72亿,3.38,12.02万,9.50,1.541,1.137
603158,腾龙股份,12.99,39.23亿,0.149,29.59亿,14.84亿,14.75亿,75.00,75.69,4.86亿,6412.99万,4503.33万,3.71,6.21万,21.78,1.318,0.896
