股票代码,股票名称,最新价,成交量-手,市盈率-动态
300299,富春股份,5.11,12.13万,78.67
300308,中际旭创,40.44,11.09万,54.17
300310,宜通世纪,5.07,37.61万,76.09
300319,麦捷科技,14.60,36.97万,47.05
300322,硕贝德,13.98,30.16万,143.10
300328,宜安科技,8.52,18.65万,1274.84
300342,天银机电,15.11,23.75万,51.40
300351,永贵电器,10.16,6.10万,35.54
300353,东土科技,10.80,32.67万,-44.21
300356,ST光一,3.30,18.45万,-19.06
300366,创意信息,9.51,15.20万,46.87
300373,扬杰科技,52.69,17.85万,43.41
300376,易事特,12.95,239.93万,98.19
300379,东方通,37.81,63.64万,173.25
300394,天孚通信,30.00,16.55万,41.72
300395,菲利华,55.30,4.28万,62.28
300397,天和防务,18.59,16.62万,150.22
300408,三环集团,44.12,28.35万,40.92
300410,正业科技,15.70,53.81万,11.27
300414,中光防雷,12.52,15.97万,81.53
300415,伊之密,19.21,8.71万,15.85
300472,新元科技,11.73,7.74万,32.53
300476,胜宏科技,24.07,27.85万,25.64
300493,润欣科技,8.89,19.92万,76.87
300496,中科创达,131.89,6.84万,100.91
300502,新易盛,38.76,26.18万,43.71
300504,天邑股份,18.84,8.86万,28.04
300513,恒实科技,12.65,46.94万,197.45
300514,友讯达,11.42,7.01万,-107.97
300520,科大国创,24.50,12.81万,53.90
300532,今天国际,12.16,14.48万,-22.72
300537,广信材料,22.03,31.19万,129.68
300538,同益股份,23.30,4.50万,83.60
300548,博创科技,44.77,7.06万,54.78
300555,路通视信,10.14,6.20万,231.71
300563,神宇股份,15.63,7.31万,44.94
300565,科信技术,16.49,30.52万,80.59
300570,太辰光,17.81,9.92万,48.45
300571,平治信息,43.90,3.09万,16.94
300578,会畅通讯,28.77,5.63万,45.84
300590,移为通信,25.84,10.46万,51.69
300593,新雷能,50.40,7.43万,55.82
300597,吉大通信,10.16,10.72万,136.20
300602,飞荣达,23.02,13.26万,81.40
300608,思特奇,13.50,11.21万,-18.60
300615,欣天科技,13.54,5.84万,374.08
300620,光库科技,53.32,2.11万,58.27
300623,捷捷微电,33.89,19.37万,62.22
300632,光莆股份,15.52,13.90万,29.76
300635,中达安,15.68,1.17万,65.47
300638,广和通,54.23,4.94万,69.76
300644,南京聚隆,22.90,9.73万,41.28
300647,超频三,12.07,28.09万,558.89
300671,富满电子,114.99,16.77万,37.27
300679,电连技术,43.10,16.23万,44.27
300684,中石科技,25.88,35.23万,60.36
300698,万马科技,19.06,1.93万,-62.23
300710,万隆光电,28.49,2.04万,-3200.55
300726,宏达电子,85.15,4.22万,49.83
300731,科创新源,38.10,6.52万,86.87
300735,光弘科技,12.57,6.78万,108.44
300747,锐科激光,73.80,6.14万,72.39
300752,隆利科技,27.28,8.71万,-39.04
300762,上海瀚讯,32.04,10.24万,409.23
300782,卓胜微,413.09,2.57万,69.96
300828,锐新科技,23.65,2.40万,48.06
300846,首都在线,12.27,5.06万,572.39
300852,四会富仕,55.83,3.74万,34.08
300870,欧陆通,63.94,1.50万,47.54
300903,科翔股份,35.87,5.25万,108.48
300913,兆龙互连,26.26,3.17万,40.91
300936,中英科技,49.75,3.32万,103.15
300964,本川智能,50.77,3.94万,55.34
300991,创益通,36.72,3.63万,38.40
301013,利和兴,26.28,8.06万,-251.83
301041,C金百泽,34.47,12.33万,54.30
600050,中国联通,4.23,62.80万,19.38
600103,青山纸业,2.59,63.50万,24.63
600105,永鼎股份,3.66,42.71万,10.48
600143,金发科技,21.04,136.58万,17.71
600183,生益科技,26.72,33.51万,28.25
600198,*ST大唐,7.74,18.44万,-26.84
600206,有研新材,16.45,47.20万,56.60
600260,凯乐科技,5.19,141.50万,6.81
600289,ST信通,3.36,4.22万,-9.39
600330,天通股份,13.09,90.54万,31.15
600345,长江通信,15.78,2.65万,129.09
600353,旭光电子,5.68,11.10万,76.58
600405,动力源,7.65,61.17万,-25.96
600487,亨通光电,12.70,31.23万,28.39
600498,烽火通信,19.40,12.22万,182.32
600522,中天科技,9.28,315.56万,14.45
600562,国睿科技,14.81,10.25万,61.27
600601,ST方科,2.69,12.50万,-10.55
600734,*ST实达,2.33,10.45万,-4.97
600745,闻泰科技,106.30,20.12万,50.77
600776,东方通信,11.66,9.33万,848.86
600804,鹏博士,4.62,16.13万,62.04
601137,博威合金,16.31,19.11万,27.39
601138,工业富联,11.84,26.50万,17.48
601677,明泰铝业,34.96,12.14万,18.45
601869,XD长飞光,25.98,1.63万,58.28
603002,宏昌电子,7.60,14.02万,20.62
603005,晶方科技,53.48,22.51万,42.76
603042,华脉科技,13.82,2.91万,-85.63
603083,剑桥科技,16.32,27.97万,37.37
603115,海星股份,22.07,14.38万,26.48
603118,共进股份,9.56,9.44万,30.65
603186,华正新材,43.27,2.77万,25.24
603220,中贝通信,14.71,15.66万,80.77
603228,景旺电子,27.76,9.35万,25.61
603236,移远通信,158.06,1.53万,94.92
603256,宏和科技,9.67,3.02万,70.79
