股票代码,股票名称,最新价,总市值,每股收益,总资产,总负债,股东权益合计,净利润同比,营收同比率,总营收,总利润,净利润,净资产收益率-ROE,成交量-手,市盈率-动态,流动比率,速动比率
603677,奇精机械,11.99,23.04亿,0.106,18.92亿,8.34亿,10.58亿,83.21,68.60,4.90亿,2134.59万,2037.27万,1.94,1.69万,28.27,2.271,1.530
002429,兆驰股份,6.19,280.2亿,0.103,271.14亿,148.76亿,122.38亿,131.66,99.90,52.36亿,5.19亿,4.66亿,4.01,104.86万,15.02,1.533,1.332
002050,三花智控,22.07,792.7亿,0.100,177.02亿,71.72亿,105.30亿,70.36,37.22,34.08亿,4.49亿,3.60亿,3.51,33.41万,55.03,2.178,1.651
603551,奥普家居,10.48,42.50亿,0.080,25.99亿,7.09亿,18.90亿,-,182.29,3.51亿,3910.51万,3152.10万,1.75,7255,33.71,2.880,2.493
002420,毅昌股份,4.38,17.56亿,0.060,22.05亿,16.00亿,6.05亿,112.58,30.40,8.38亿,2664.57万,2556.88万,4.40,2.30万,17.17,1.066,0.806
300342,天银机电,13.99,60.41亿,0.060,20.41亿,5.00亿,15.41亿,11.36,24.62,2.25亿,3105.67万,2645.41万,1.73,16.58万,57.09,2.555,1.574
002403,爱仕达,7.05,24.70亿,0.050,52.45亿,29.67亿,22.77亿,-,73.97,8.14亿,1422.90万,1670.37万,0.74,1.13万,36.96,1.043,0.654
002519,银河电子,3.97,44.72亿,0.048,38.85亿,9.98亿,28.88亿,20.33,44.58,4.55亿,6793.01万,5421.67万,1.91,11.56万,20.62,2.692,1.922
600336,澳柯玛,5.52,44.06亿,0.032,83.50亿,57.08亿,26.43亿,21.50,42.27,18.26亿,4698.96万,2520.07万,1.10,6.81万,43.71,1.282,0.893
000016,深康佳Ａ,6.01,144.7亿,0.030,510.59亿,403.15亿,107.44亿,-,25.82,98.22亿,6941.12万,7282.26万,0.86,12.02万,49.68,0.977,0.787
200016,深康佳Ｂ,2.29,55.14亿,0.030,510.59亿,403.15亿,107.44亿,-,25.82,98.22亿,6941.12万,7282.26万,0.86,7874,16.00,0.977,0.787
000801,四川九洲,7.27,74.36亿,0.027,51.63亿,23.25亿,28.38亿,207.80,15.44,7.76亿,3604.76万,2737.96万,1.05,29.25万,67.90,2.164,1.774
002681,奋达科技,3.66,66.78亿,0.021,49.55亿,26.99亿,22.56亿,-41.30,39.30,8.30亿,4422.46万,3741.94万,1.65,24.56万,44.62,1.323,0.983
600539,狮头股份,6.58,15.13亿,0.018,6.15亿,8963.91万,5.26亿,21.03,847.57,8631.60万,910.08万,405.82万,0.96,1.06万,93.23,5.972,4.713
600854,春兰股份,3.32,17.25亿,0.010,23.10亿,3.77亿,19.33亿,-,289.19,1.26亿,1291.95万,514.41万,0.25,2.19万,83.82,3.299,2.356
002668,奥马电器,5.46,59.19亿,0.008,92.51亿,59.19亿,33.32亿,41.68,69.46,22.32亿,1.19亿,907.70万,0.42,14.56万,163.03,1.365,1.247
002723,金莱特,13.89,37.41亿,0.005,15.33亿,8.93亿,6.40亿,-,112.47,2.79亿,330.34万,138.53万,0.22,3.63万,675.19,1.119,0.857
000521,长虹美菱,3.19,33.32亿,0.005,164.71亿,114.88亿,49.82亿,-,81.02,41.30亿,1679.46万,529.78万,0.11,10.61万,157.25,1.133,0.885
200521,虹美菱B,2.16,22.56亿,0.005,164.71亿,114.88亿,49.82亿,-,81.02,41.30亿,1679.46万,529.78万,0.11,462,89.99,1.133,0.885
600839,四川长虹,2.71,125.1亿,0.004,783.04亿,569.89亿,213.15亿,-,45.97,238.33亿,1.34亿,2065.26万,0.16,54.48万,151.43,1.033,0.686
002005,ST德豪,1.70,29.79亿,-0.032,37.71亿,18.86亿,18.85亿,-,58.72,5.23亿,-5646.79万,-5592.16万,-3.20,8.98万,-13.32,0.764,0.558
600983,惠而浦,8.85,67.83亿,-0.030,69.35亿,34.08亿,35.27亿,-,59.98,14.11亿,-2991.81万,-2457.76万,-0.69,3.84万,-69.00,1.464,1.252
603366,日出东方,4.27,34.16亿,-0.027,60.24亿,26.42亿,33.82亿,-,59.76,7.10亿,-1905.90万,-2137.73万,-0.64,3.29万,-39.95,,
002473,*ST圣莱,5.54,8.86亿,-0.027,8582.17万,1.06亿,-2017.55万,-,-,-,-433.62万,-431.20万,27.43,1.83万,-51.39,2.687,2.687
